Event Count,location,Event duration,Latitude,Longitude,Cluster
2846,"{'latitude': 20.4580873, 'longitude': 85.8815639}",362.452,20.4580873,85.8815639,0
2847,"{'latitude': 19.16803, 'longitude': 83.40779}",302.667,19.16803,83.40779,2
2848,"{'latitude': 20.6735839, 'longitude': 86.3537253}",301.747,20.6735839,86.3537253,0
2849,"{'latitude': 21.2487962, 'longitude': 83.5053264}",343.749,21.2487962,83.5053264,1
2850,"{'latitude': 19.4889258, 'longitude': 84.1792344}",308.556,19.4889258,84.1792344,2
2851,"{'latitude': 19.3370614, 'longitude': 83.4222243}",351.888,19.3370614,83.4222243,2
2852,"{'latitude': 22.0636326, 'longitude': 86.6493861}",351.751,22.0636326,86.6493861,0
2853,"{'latitude': 20.7206542, 'longitude': 86.5726989}",359.257,20.7206542,86.5726989,0
2854,"{'latitude': 20.7168478, 'longitude': 85.5316681}",382.834,20.7168478,85.5316681,0
2855,"{'latitude': 21.1002506, 'longitude': 83.6892222}",301.17,21.1002506,83.6892222,1
2856,"{'latitude': 18.9591464, 'longitude': 84.2246357}",404.889,18.9591464,84.2246357,2
2857,"{'latitude': 20.7723032, 'longitude': 85.4012563}",461.0,20.7723032,85.4012563,0
2858,"{'latitude': 21.516558333333332, 'longitude': 86.52852833333333}",364.002,21.516558333333332,86.52852833333333,0
2859,"{'latitude': 18.8763067, 'longitude': 82.5622787}",355.546,18.8763067,82.5622787,2
2860,"{'latitude': 21.8639002, 'longitude': 86.0237772}",307.0,21.8639002,86.0237772,0
2861,"{'latitude': 20.9296441, 'longitude': 86.5598061}",355.954,20.9296441,86.5598061,0
2862,"{'latitude': 19.488686666666666, 'longitude': 84.17946833333333}",729.222,19.488686666666666,84.17946833333333,2
2863,"{'latitude': 21.0006425, 'longitude': 83.0769039}",466.376,21.0006425,83.0769039,1
2864,"{'latitude': 20.8429799, 'longitude': 83.9094124}",516.67,20.8429799,83.9094124,1
2865,"{'latitude': 21.2467477, 'longitude': 83.7064462}",796.169,21.2467477,83.7064462,1
2866,"{'latitude': 18.5520475, 'longitude': 82.2062556}",487.516,18.5520475,82.2062556,2
2867,"{'latitude': 21.0439801, 'longitude': 83.5522114}",494.24,21.0439801,83.5522114,1
2868,"{'latitude': 20.5676433, 'longitude': 85.9504428}",490.662,20.5676433,85.9504428,0
2869,"{'latitude': 21.747951, 'longitude': 84.3510326}",406.415,21.747951,84.3510326,1
2870,"{'latitude': 20.9023818, 'longitude': 82.5091912}",468.919,20.9023818,82.5091912,1
2871,"{'latitude': 20.8494618, 'longitude': 86.3303794}",337.664,20.8494618,86.3303794,0
2872,"{'latitude': 20.541831666666667, 'longitude': 82.65446666666666}",456.0,20.541831666666667,82.65446666666666,1
2873,"{'latitude': 19.663866666666667, 'longitude': 82.45679}",501.222,19.663866666666667,82.45679,2
2874,"{'latitude': 19.276638900000002, 'longitude': 82.2393542}",404.889,19.276638900000002,82.2393542,2
2875,"{'latitude': 21.3374949, 'longitude': 83.6216844}",401.0,21.3374949,83.6216844,1
2876,"{'latitude': 19.238503, 'longitude': 83.8219412}",347.889,19.238503,83.8219412,2
2877,"{'latitude': 21.5430878, 'longitude': 84.9910787}",330.332,21.5430878,84.9910787,0
2878,"{'latitude': 22.2926186, 'longitude': 84.1055857}",349.419,22.2926186,84.1055857,1
2879,"{'latitude': 18.36105, 'longitude': 81.890195}",302.667,18.36105,81.890195,2
2880,"{'latitude': 18.7519214, 'longitude': 82.4304172}",336.111,18.7519214,82.4304172,2
2881,"{'latitude': 21.0798955, 'longitude': 84.3620061}",377.5,21.0798955,84.3620061,1
2882,"{'latitude': 21.0624861, 'longitude': 82.7929264}",321.417,21.0624861,82.7929264,1
2883,"{'latitude': 21.191404, 'longitude': 83.5869747}",614.688,21.191404,83.5869747,1
2884,"{'latitude': 19.4908643, 'longitude': 83.5005118}",410.778,19.4908643,83.5005118,2
2885,"{'latitude': 21.0682888, 'longitude': 85.5714719}",348.83,21.0682888,85.5714719,0
2886,"{'latitude': 19.3404546, 'longitude': 82.5133827}",456.0,19.3404546,82.5133827,2
2887,"{'latitude': 21.4335281, 'longitude': 85.1925115}",311.0,21.4335281,85.1925115,0
2888,"{'latitude': 20.9872816, 'longitude': 85.9888067}",522.0,20.9872816,85.9888067,0
2889,"{'latitude': 19.7179141, 'longitude': 82.3699891}",326.223,19.7179141,82.3699891,2
2890,"{'latitude': 20.2736662, 'longitude': 86.3870066}",1131.834,20.2736662,86.3870066,0
2891,"{'latitude': 21.0300537, 'longitude': 83.8103783}",429.666,21.0300537,83.8103783,1
2892,"{'latitude': 19.1232439, 'longitude': 83.2063106}",606.02,19.1232439,83.2063106,2
2893,"{'latitude': 18.8667858, 'longitude': 82.5692242}",1446.001,18.8667858,82.5692242,2
2894,"{'latitude': 20.3136516, 'longitude': 86.2556189}",415.162,20.3136516,86.2556189,0
2895,"{'latitude': 21.3711075, 'longitude': 83.7836367}",399.417,21.3711075,83.7836367,1
2896,"{'latitude': 21.2583467, 'longitude': 84.5408214}",515.504,21.2583467,84.5408214,1
2897,"{'latitude': 19.3007573, 'longitude': 83.293732}",308.556,19.3007573,83.293732,2
2898,"{'latitude': 21.4362123, 'longitude': 86.2992218}",340.411,21.4362123,86.2992218,0
2899,"{'latitude': 20.7179692, 'longitude': 83.29562}",440.223,20.7179692,83.29562,1
2900,"{'latitude': 21.407488333333333, 'longitude': 86.47042666666667}",618.253,21.407488333333333,86.47042666666667,0
2901,"{'latitude': 20.0694619, 'longitude': 82.5735294}",370.0,20.0694619,82.5735294,2
2902,"{'latitude': 20.7885846, 'longitude': 82.5386543}",444.0,20.7885846,82.5386543,1
2903,"{'latitude': 18.7036242, 'longitude': 82.3963337}",320.334,18.7036242,82.3963337,2
2904,"{'latitude': 22.025312, 'longitude': 86.9455351}",474.166,22.025312,86.9455351,0
2905,"{'latitude': 21.1913154, 'longitude': 83.5870904}",410.032,21.1913154,83.5870904,1
2906,"{'latitude': 19.646778333333334, 'longitude': 82.23273}",312.555,19.646778333333334,82.23273,2
2907,"{'latitude': 20.5042124, 'longitude': 85.2156903}",349.498,20.5042124,85.2156903,0
2908,"{'latitude': 21.563625000000002, 'longitude': 83.5112577}",600.75,21.563625000000002,83.5112577,1
2909,"{'latitude': 18.3609899, 'longitude': 81.913915}",736.136,18.3609899,81.913915,2
2910,"{'latitude': 18.3515365, 'longitude': 81.8837613}",425.208,18.3515365,81.8837613,2
2911,"{'latitude': 21.0452529, 'longitude': 83.5523368}",437.38,21.0452529,83.5523368,1
2912,"{'latitude': 21.1686723, 'longitude': 83.752204}",311.16,21.1686723,83.752204,1
2913,"{'latitude': 21.6831656, 'longitude': 87.0688552}",360.0,21.6831656,87.0688552,0
2914,"{'latitude': 20.7359885, 'longitude': 86.6634826}",340.498,20.7359885,86.6634826,0
2915,"{'latitude': 20.5024091, 'longitude': 82.6714506}",441.251,20.5024091,82.6714506,1
2916,"{'latitude': 22.2031046, 'longitude': 86.308663}",504.913,22.2031046,86.308663,0
2917,"{'latitude': 18.00202833333333, 'longitude': 81.68687833333334}",342.0,18.00202833333333,81.68687833333334,2
2918,"{'latitude': 22.1368506, 'longitude': 84.4231489}",309.5,22.1368506,84.4231489,1
2919,"{'latitude': 19.62551, 'longitude': 83.49201666666667}",324.333,19.62551,83.49201666666667,2
2920,"{'latitude': 20.5701063, 'longitude': 85.8924516}",410.0,20.5701063,85.8924516,0
2921,"{'latitude': 20.859993, 'longitude': 85.332151}",667.336,20.859993,85.332151,0
2922,"{'latitude': 19.71782, 'longitude': 82.37057}",485.445,19.71782,82.37057,2
2923,"{'latitude': 20.7758154, 'longitude': 85.3776241}",307.498,20.7758154,85.3776241,0
2924,"{'latitude': 22.1518519, 'longitude': 84.1048189}",783.166,22.1518519,84.1048189,1
2925,"{'latitude': 20.8499501, 'longitude': 86.3287722}",439.0,20.8499501,86.3287722,0
2926,"{'latitude': 20.6002575, 'longitude': 84.4151989}",303.583,20.6002575,84.4151989,1
2927,"{'latitude': 21.725523, 'longitude': 86.7410356}",729.0,21.725523,86.7410356,0
2928,"{'latitude': 20.374411666666667, 'longitude': 82.69836}",896.223,20.374411666666667,82.69836,1
2929,"{'latitude': 18.3646338, 'longitude': 81.8923879}",301.032,18.3646338,81.8923879,2
2930,"{'latitude': 21.9270623, 'longitude': 85.8349307}",542.585,21.9270623,85.8349307,0
2931,"{'latitude': 19.352571666666666, 'longitude': 83.78301333333333}",312.555,19.352571666666666,83.78301333333333,2
2932,"{'latitude': 18.3645967, 'longitude': 81.8919737}",321.652,18.3645967,81.8919737,2
2933,"{'latitude': 20.4418864, 'longitude': 83.3455583}",369.087,20.4418864,83.3455583,1
2934,"{'latitude': 19.3299187, 'longitude': 83.1301482}",399.0,19.3299187,83.1301482,2
2935,"{'latitude': 20.5918155, 'longitude': 82.9634544}",906.0,20.5918155,82.9634544,1
2936,"{'latitude': 19.295545, 'longitude': 82.72292833333333}",371.445,19.295545,82.72292833333333,2
2937,"{'latitude': 21.8430358, 'longitude': 86.9456919}",342.272,21.8430358,86.9456919,0
2938,"{'latitude': 21.0071661, 'longitude': 83.7135677}",300.0,21.0071661,83.7135677,1
2939,"{'latitude': 20.5157459, 'longitude': 86.4015412}",544.415,20.5157459,86.4015412,0
2940,"{'latitude': 21.070665, 'longitude': 84.4037264}",301.336,21.070665,84.4037264,1
2941,"{'latitude': 20.9889543, 'longitude': 86.4182845}",370.837,20.9889543,86.4182845,0
2942,"{'latitude': 20.7693482, 'longitude': 86.1527719}",472.83,20.7693482,86.1527719,0
2943,"{'latitude': 19.649741666666667, 'longitude': 82.22881}",575.889,19.649741666666667,82.22881,2
2944,"{'latitude': 20.7690168, 'longitude': 86.1525701}",496.0,20.7690168,86.1525701,0
2945,"{'latitude': 21.2582348, 'longitude': 84.5407963}",673.668,21.2582348,84.5407963,1
2946,"{'latitude': 21.0141495, 'longitude': 83.2116552}",493.0,21.0141495,83.2116552,1
2947,"{'latitude': 21.1225789, 'longitude': 86.7497916}",381.249,21.1225789,86.7497916,0
2948,"{'latitude': 21.0014576, 'longitude': 83.0596088}",626.731,21.0014576,83.0596088,1
2949,"{'latitude': 18.61882333333333, 'longitude': 82.59229833333333}",360.477,18.61882333333333,82.59229833333333,2
2950,"{'latitude': 22.1143824, 'longitude': 84.394006}",347.5,22.1143824,84.394006,1
2951,"{'latitude': 21.5851088, 'longitude': 83.417063}",310.5,21.5851088,83.417063,1
2952,"{'latitude': 21.2765861, 'longitude': 86.6144759}",411.0,21.2765861,86.6144759,0
2953,"{'latitude': 19.7185, 'longitude': 82.370005}",342.0,19.7185,82.370005,2
2954,"{'latitude': 22.1230196, 'longitude': 84.0429384}",307.0,22.1230196,84.0429384,1
2955,"{'latitude': 18.3610896, 'longitude': 81.9136417}",573.724,18.3610896,81.9136417,2
2956,"{'latitude': 19.181495, 'longitude': 82.55633666666667}",365.556,19.181495,82.55633666666667,2
2957,"{'latitude': 20.7079282, 'longitude': 83.1321572}",302.667,20.7079282,83.1321572,1
2958,"{'latitude': 21.6381614, 'longitude': 84.044902}",359.0,21.6381614,84.044902,1
2959,"{'latitude': 20.3880786, 'longitude': 85.551296}",330.0,20.3880786,85.551296,0
2960,"{'latitude': 20.3435544, 'longitude': 82.9032306}",400.998,20.3435544,82.9032306,1
2961,"{'latitude': 19.277001666666667, 'longitude': 82.238585}",560.112,19.277001666666667,82.238585,2
2962,"{'latitude': 21.343044, 'longitude': 83.6254811}",302.036,21.343044,83.6254811,1
2963,"{'latitude': 19.514171666666666, 'longitude': 83.50613666666666}",422.556,19.514171666666666,83.50613666666666,2
2964,"{'latitude': 18.364637, 'longitude': 81.8924541}",357.448,18.364637,81.8924541,2
2965,"{'latitude': 20.296876666666666, 'longitude': 82.75624166666667}",787.667,20.296876666666666,82.75624166666667,2
2966,"{'latitude': 21.6330628, 'longitude': 84.047723}",301.91,21.6330628,84.047723,1
2967,"{'latitude': 20.997881, 'longitude': 83.0612987}",865.579,20.997881,83.0612987,1
2968,"{'latitude': 21.6383426, 'longitude': 84.0449782}",318.0,21.6383426,84.0449782,1
2969,"{'latitude': 21.0008126, 'longitude': 83.0769101}",2481.076,21.0008126,83.0769101,1
2970,"{'latitude': 21.0097713, 'longitude': 83.1785914}",700.419,21.0097713,83.1785914,1
2971,"{'latitude': 21.5211555, 'longitude': 86.1566374}",308.498,21.5211555,86.1566374,0
2972,"{'latitude': 19.238546666666668, 'longitude': 83.82212166666666}",308.556,19.238546666666668,83.82212166666666,2
2973,"{'latitude': 19.1686781, 'longitude': 83.407503}",691.0,19.1686781,83.407503,2
2974,"{'latitude': 20.3214806, 'longitude': 86.5210057}",380.913,20.3214806,86.5210057,0
2975,"{'latitude': 18.0691452, 'longitude': 81.7469249}",513.0,18.0691452,81.7469249,2
2976,"{'latitude': 21.2328893, 'longitude': 83.2756245}",381.085,21.2328893,83.2756245,1
2977,"{'latitude': 21.9246707, 'longitude': 85.8661147}",474.0,21.9246707,85.8661147,0
2978,"{'latitude': 20.8414731, 'longitude': 85.0970087}",486.754,20.8414731,85.0970087,0
2979,"{'latitude': 19.3404398, 'longitude': 82.5133633}",422.556,19.3404398,82.5133633,2
2980,"{'latitude': 22.119791, 'longitude': 84.0375522}",515.494,22.119791,84.0375522,1
2981,"{'latitude': 21.0279687, 'longitude': 85.7461006}",442.998,21.0279687,85.7461006,0
2982,"{'latitude': 22.0638726, 'longitude': 86.6493597}",317.253,22.0638726,86.6493597,0
2983,"{'latitude': 18.618313333333333, 'longitude': 82.59256166666667}",342.0,18.618313333333333,82.59256166666667,2
2984,"{'latitude': 20.2103705, 'longitude': 82.4903413}",358.0,20.2103705,82.4903413,2
2985,"{'latitude': 19.6653506, 'longitude': 82.2066284}",524.778,19.6653506,82.2066284,2
2986,"{'latitude': 20.8627185, 'longitude': 84.2562261}",352.668,20.8627185,84.2562261,1
2987,"{'latitude': 21.3376114, 'longitude': 83.6217512}",1125.104,21.3376114,83.6217512,1
2988,"{'latitude': 22.350005, 'longitude': 86.2315868}",431.502,22.350005,86.2315868,0
2989,"{'latitude': 21.5164707, 'longitude': 86.5278261}",506.581,21.5164707,86.5278261,0
2990,"{'latitude': 19.060735, 'longitude': 82.83244333333333}",360.667,19.060735,82.83244333333333,2
2991,"{'latitude': 22.2116651, 'longitude': 86.554616}",307.585,22.2116651,86.554616,0
2992,"{'latitude': 20.8413803, 'longitude': 85.096995}",401.0,20.8413803,85.096995,0
2993,"{'latitude': 21.337616666666666, 'longitude': 83.62171166666667}",418.056,21.337616666666666,83.62171166666667,1
2994,"{'latitude': 21.0007851, 'longitude': 83.076876}",625.738,21.0007851,83.076876,1
2995,"{'latitude': 20.5670205, 'longitude': 85.950264}",506.0,20.5670205,85.950264,0
2996,"{'latitude': 20.6323982, 'longitude': 86.7153365}",320.411,20.6323982,86.7153365,0
2997,"{'latitude': 19.4560581, 'longitude': 82.4042665}",788.112,19.4560581,82.4042665,2
2998,"{'latitude': 18.9588729, 'longitude': 84.2246436}",433.444,18.9588729,84.2246436,2
